SHIP'S NAME,COUNTRY,DWT DATE,L_BP,Beam (B),Depth (D),Draft (d),SPEED (m/s),L/B,L/D,B/D,B/d,L/d,D/d,Fr
FLYING OFFICER NIRMAL JIT SINGH SEKHON PVC,INDIA,40700,184,30.4,17.8,12.4,7.2016,6.052631579,10.33707865,1.707865169,2.451612903,14.83870968,1.435483871,0.169506197
PEACEVENTURE L,GREECE,38500,169,32.2,17.45,11.7,7.4588,5.248447205,9.684813754,1.845272206,2.752136752,14.44444444,1.491452991,0.183185505
PRIDEVENTURE L,GREECE,38500,169,32.2,17.45,11.7,7.2016,5.248447205,9.684813754,1.845272206,2.752136752,14.44444444,1.491452991,0.176868763
POWERVENTURE L,GREECE,38500,169,32.2,17.45,11.7,7.66456,5.248447205,9.684813754,1.845272206,2.752136752,14.44444444,1.491452991,0.188238898
FRATERNITY L,GREECE,38500,169,32.2,17.45,11.7,7.51024,5.248447205,9.684813754,1.845272206,2.752136752,14.44444444,1.491452991,0.184448853
NEPTUNE ANTLIA,SINGAPORE,39600,164,32.2,16.6,11.7,7.716,5.093167702,9.879518072,1.939759036,2.752136752,14.01709402,1.418803419,0.192369312
FERITILITY L,GREECE,38500,169,32.2,17.45,11.26,7.716,5.248447205,9.684813754,1.845272206,2.859680284,15.00888099,1.54973357,0.189502247
NEPTUNE AQUARIUS,SINGAPORE,39600,164,32.2,16.6,11.7,7.2016,5.093167702,9.879518072,1.939759036,2.752136752,14.01709402,1.418803419,0.179544691
TORM HERDIS,DENMARK,39600,177,27.43,17,12.2,7.4588,6.452788917,10.41176471,1.613529412,2.248360656,14.50819672,1.393442623,0.178997854
NEPTUNE,U.S.A.,39720,177,27.43,17,12.2,7.4588,6.452788917,10.41176471,1.613529412,2.248360656,14.50819672,1.393442623,0.178997854
DELPHINA,U.S.A.,39470,177,27.43,17,12.2,7.4588,6.452788917,10.41176471,1.613529412,2.248360656,14.50819672,1.393442623,0.178997854
KANDILOUSA,GREECE,46000,174,32.2,18.6,12.2,14,5.403726708,9.35483871,1.731182796,2.639344262,14.26229508,1.524590164,0.338858909
HELLAS RENAISSANCE,GREECE,46000,174,32.2,18.2,12.2,14.5,5.403726708,9.56043956,1.769230769,2.639344262,14.26229508,1.491803279,0.350961013
SANTIAGO,ECUADOR,45000,174,32.2,18,12,14.5,5.403726708,9.666666667,1.788888889,2.683333333,14.5,1.5,0.350961013
