HULL NO.,SHIP'S NAME,COMPANY,COUNTRY,DWT DATE,CLASS,DIMENSIONS (LBP×B×D×d),LBP,B,D,d,MAIN ENGINE,SPEED (KT),DELIVERY
H140,PLUTO,OVERSEAS SHIPHOLDING GROUP INC.,U.S.A.,31000,ABS,2,,,,,SULZER 6RND76,15,81. 05. 20
H141,CANOPUS,OVERSEAS SHIPHOLDING GROUP INC.,U.S.A.,31000,ABS,163.30/26.00/14.75/11.20M,,,,,SULZER 6RND76,15,81. 07. 20
H322,FLYING OFFICER NIRMAL JIT SINGH SEKHON PVC,SHIPPING CORPORATION OF INDIA,INDIA,40700,DNV+LR,184.00/30.40/17.80/12.40M,,,,,HYUNDAI-SULZER 6RTA58,14,85. 01. 25
H323,LIEUTENANT ARUN KHETARPAL PVC,SHIPPING CORPORATION OF INDIA,INDIA,40700,DNV+LR,184.00/30.40/17.80/12.40M,,,,,HYUNDAI-SULZER 6RTA58,14,85. 03. 04
H324,MAJOR HOSHIAR SINGH PVC,SHIPPING CORPORATION OF INDIA,INDIA,40700,DNV+LR,184.00/30.40/17.80/12.40M,,,,,HYUNDAI-SULZER 6RTA58,14,85.  4. 26
H325,LANCE NAIK ALBERT EKKA PVC,SHIPPING CORPORATION OF INDIA,INDIA,40700,DNV+LR,184.00/30.40/17.80/12.40M,,,,,HYUNDAI-SULZER 6RTA58,14,85.  5. 28
H352,SOLARIS,SHELL TANKERS B.V.,NETHERLANDS,84000,LR,234.00/42.67/19.80/14.60M,,,,,HYUNDAI-B&W 5L70MCE,15,85.11. 19
H353,SPECTRUM,SHELL TANKERS B.V.,NETHERLANDS,84000,LR,234.00/42.67/19.80/14.60M,,,,,HYUNDAI-B&W 5L70MCE,15,85.12. 25
H354,STELLATA,SHELL TANKERS B.V.,NETHERLANDS,84000,LR,234.00/42.67/19.80/14.60M,,,,,HYUNDAI-B&W 5L70MCE,15,86. 01.10
H342,SUZANNE,OVERSEAS SHIPHOLDING GROUP INC.,U.S.A.,65000,LR,220.40/32.20/18.20/13.30M,,,,,HYUNDAI-B&W 6L70MCE,15.3,86.09. 09
,LUCY,OVERSEAS SHIPHOLDING GROUP INC.,U.S.A.,65000,LR,220.40/32.20/18.20/13.30M,,,,,HYUNDAI-B&W 6L70MCE,15.3,86.10. 15
,SPONSALIS,SHELL TANKERS B.V.,NETHERLANDS,84000,LR,234.00/42.67/19.80/14.00M,,,,,HYUNDAI-B&W 5L80MCE,15,86.11. 08
,SERICATA,SHELL TANKERS B.V.,NETHERLANDS,84000,LR,234.00/42.67/19.80/14.00M,,,,,HYUNDAI-B&W 5L80MCE,15,86.11. 20
,PEACEVENTURE L,CERES HELLENIC SHIPPING ENT. LTD.,GREECE,38500,DNV,169.00/32.20/17.45/11.70M,,,,,HYUNDAI-SULZER 5RTA 62,14.5,87.05. 07
,PROSPERVENTURE L,CERES HELLENIC SHIPPING ENT. LTD.,GREECE,38500,DNV,169.00/32.20/17.45/11.70M,,,,,HYUNDAI-SULZER 5RTA 62,14.5,87.05. 20
,PRIDEVENTURE L,CERES HELLENIC SHIPPING ENT. LTD.,GREECE,38500,DNV,169.00/32.20/17.45/11.70M,,,,,HYUNDAI-SULZER 5RTA 62,14.5,87.06. 04
,POWERVENTURE L,CERES HELLENIC SHIPPING ENT. LTD.,GREECE,38500,DNV,169.00/32.20/17.45/11.70M,,,,,HYUNDAI-SULZER 5RTA 62,14.5,87.06. 15
,PRIMAVENTURE L,CERES HELLENIC SHIPPING ENT. LTD.,GREECE,38500,DNV,169.00/32.20/17.45/11.70M,,,,,HYUNDAI-SULZER 5RTA 62,14.5,87.07. 15
,FRATERNITY L,CERES HELLENIC SHIPPING ENT. LTD.,GREECE,38500,DNV,169.00/32.20/17.45/11.70M,,,,,HYUNDAI-SULZER 5RTA 62,14.5,87.11. 16
,NEPTUNE ANTLIA,NEPTUNE ORIENT LINES LTD.,SINGAPORE,39600,LR,164.00/32.20/16.60/11.70M,,,,,HYUNDAI-B&W 6L60MCE,14.5,87.11. 23
,FERITILITY L,CERES HELLENIC SHIPPING ENT. LTD.,GREECE,38500,DNV,169.00/32.20/17.45/11.26M,,,,,HYUNDAI-SULZER 5RTA 62,14.5,87.11. 25
,NEPTUNE AQUARIUS,NEPTUNE ORIENT LINES LTD.,SINGAPORE,39600,LR,164.00/32.20/16.60/11.70M,,,,,HYUNDAI-B&W 6L60MCE,14.5,87.12. 02
,PERSEVERANCE,TRANSPETROL SERVICE N.V.,BELGIUM,36750,DNV,185.90/27.43/17.00/12.14M,,,,,HYUNDAI-B&W 5S50MCE,14,88.02. 29
,ENDURANCE,TRANSPETROL SERVICE N.V.,BELGIUM,36750,DNV,185.90/27.43/17.00/12.14M,,,,,HYUNDAI-B&W 5S50MCE,14,88.03. 07
,ETERNITY,TRANSPETROL SERVICE N.V.,BELGIUM,36750,DNV,185.90/27.43/17.00/12.14M,,,,,HYUNDAI-B&W 5S50MCE,14,88.05. 03
,TURMOIL,TRANSPETROL SERVICE N.V.,BELGIUM,36750,DNV,185.90/27.43/17.00/12.14M,,,,,HYUNDAI-B&W 5S50MCE,14,88. 08. 30
,URANUS,OVERSEAS SHIPHOLDING GROUP INC.,U.S.A.,39720,ABS,177.00/27.43/17.00/12.20M,,,,,HYUNDAI-B&W 5S50MC,14,88. 10. 21
,TORM HERDIS,A/S DAMPSKIBSSELSKABET TORM,DENMARK,39600,DNV,177.00/27.43/17.00/12.20M,,,,,HYUNDAI-B&W 6S50MC,14.9,88. 11. 01
,NEPTUNE,OVERSEAS SHIPHOLDING GROUP INC.,U.S.A.,39720,ABS,177.00/27.43/17.00/12.20M,,,,,HYUNDAI-B&W 5S50MC,14,89. 02. 17
,TORM HELENE,A/S DAMPSKIBSSELSKABET TORM,DENMARK,39600,DNV,177.00/27.43/17.00/12.20M,,,,,HYUNDAI-B&W 6S50MC,14.6,89. 05. 26
H610,DELPHINA,OVERSEAS SHIPHOLDING GROUP INC.,U.S.A.,39470,ABS,177.00/27.43/17.00/12.20M,,,,,HYUNDAI-B&W 6S50MC,15,89. 06. 13
H611,VEGA,OVERSEAS SHIPHOLDING GROUP INC.,U.S.A.,39470,ABS,177.00/27.43/17.00/12.20M,,,,,HYUNDAI-B&W 6S50MC,15,89. 06. 28
H771,ALKYONIS,ELETSON CORPORATION,GREECE,66000,DNV,219.00/32.20/19.70/13.20M,,,,,HYUNDAI-B&W 6L60MC,14,92. 10. 06
H772,VELOPOULA,ELETSON CORPORATION,GREECE,66000,DNV,219.00/32.20/19.70/13.20M,,,,,HYUNDAI-B&W 6L60MC,14,93. 01. 12
H773,SPORADES,ELETSON CORPORATION,GREECE,66000,DNV,219.00/32.20/19.70/13.20M,,,,,HYUNDAI-B&W 6L60MC,14,93. 07. 01
,BUNGA KERAYONG,MALAYSIA INTERNATIONAL SHIPPING CORP.,MALAYSIA,18000,LR,152.00/25.80/10.80/ 6.98M,,,,,HYUNDAI-B&W 5L42MC,13.3,94. 11. 30
,KANDILOUSA,ELETSON CORPORATION,GREECE,46000,ABS,174.00/32.20/18.60/12.20M,,,,,HYUNDAI-B&W 6S50MC,14,95. 01. 11
,BUNGA KEKARAS,MALAYSIA INTERNATIONAL SHIPPING CORP.,MALAYSIA,30000,LR,170.00/30.00/14.40/ 9.08M,,,,,HYUNDAI-B&W 5S50MC,14,95. 01. 26
,SERIFOPOULO,ELETSON CORPORATION,GREECE,46000,ABS,174.00/32.20/18.60/12.20M,,,,,HYUNDAI-B&W 6S50MC,14,95. 02. 14
,SERIFOS,ELETSON CORPORATION,GREECE,46000,ABS,174.00/32.20/18.60/12.20M,,,,,HYUNDAI-B&W 6S50MC,14,95. 05. 09
,TENACITY,TRANSPETROL SERVICE N.V.,BELGIUM,87000,DNV,218.00/42.00/21.10/13.60M,,,,,HYUNDAI-B&W 7S60MC,15.03,96. 05. 29
,TORM ANN-MARIE,A/S DAMPSKIBSSELSKABET TORM,DENMARK,100000,DNV,234.00/42.00/21.00/14.30M,,,,,HYUNDAI-B&W 6S60MC,14.7,97. 06. 26
,TORM HELENE,A/S DAMPSKIBSSELSKABET TORM,DENMARK,100000,DNV,234.00/42.00/21.00/14.30M,,,,,HYUNDAI-B&W 6S60MC,14.7,97. 08. 14
,ORIENTAL GREEN,"HYUNDAI MERCHANT MARINE CO., LTD.",KOREA,100000,DNV+KR,234.00/42.00/21.00/14.30M,,,,,HYUNDAI-B&W 6S60MC,14.7,98. 04. 23
,VIJAYANTI,"HYUNDAI MERCHANT MARINE CO., LTD.",KOREA,30000,LR,171.00/31.00/15.80/ 8.98M,,,,,HYUNDAI-B&W 5S50MC,14.6,98. 04. 30
,SUVARNA SWARAJYA,SHIPPING CORPORATION OF INDIA,INDIA,30000,BV,165.00/25.87/17.50/10.60M,,,,,HYUNDAI-B&W 5S50MC(VI),14,98. 11. 21
,SAMPURNA SWARAJYA,SHIPPING CORPORATION OF INDIA,INDIA,30000,BV,165.00/25.87/17.50/10.60M,,,,,HYUNDAI-B&W 5S50MC(VI),14,99. 01. 12
,HELLAS FOS,CONSOLIDATED MARINE MANAGEMENT INC.,GREECE,46000,ABS,174.00/32.20/18.20/12.20M,,,,,HYUNDAI-B&W 6S50MC,14.5,99. 03. 24
,HELLAS SERENITY,CONSOLIDATED MARINE MANAGEMENT INC.,GREECE,46000,ABS,174.00/32.20/18.20/12.20M,,,,,HYUNDAI-B&W 6S50MC,14.5,99. 05. 24
,HELLAS RENAISSANCE,CONSOLIDATED MARINE MANAGEMENT INC.,GREECE,46000,ABS,174.00/32.20/18.20/12.20M,,,,,HYUNDAI-B&W 6S50MC,14.5,99. 06. 15
