SHIP'S NAME,COUNTRY,DWT,LBP,B,D,d,Air_d,Vs,L/B,L/D,B/D,B/d,L/d,d/D,Fn
CANOPUS,U.S.A.,31000,163.3,26,14.75,11.2,3.55,7.716,6.280769231,11.07118644,1.762711864,2.321428571,14.58035714,0.759322034,0.192781175
FLYING OFFICER NIRMAL JIT SINGH SEKHON PVC,INDIA,40700,184,30.4,17.8,12.4,5.4,7.2016,6.052631579,10.33707865,1.707865169,2.451612903,14.83870968,0.696629213,0.169506197
LIEUTENANT ARUN KHETARPAL PVC,INDIA,40700,184,30.4,17.8,12.4,5.4,7.2016,6.052631579,10.33707865,1.707865169,2.451612903,14.83870968,0.696629213,0.169506197
MAJOR HOSHIAR SINGH PVC,INDIA,40700,184,30.4,17.8,12.4,5.4,7.2016,6.052631579,10.33707865,1.707865169,2.451612903,14.83870968,0.696629213,0.169506197
LANCE NAIK ALBERT EKKA PVC,INDIA,40700,184,30.4,17.8,12.4,5.4,7.2016,6.052631579,10.33707865,1.707865169,2.451612903,14.83870968,0.696629213,0.169506197
SOLARIS,NETHERLANDS,84000,234,42.67,19.8,14.6,5.2,7.716,5.483946567,11.81818182,2.155050505,2.92260274,16.02739726,0.737373737,0.161045942
SPECTRUM,NETHERLANDS,84000,234,42.67,19.8,14.6,5.2,7.716,5.483946567,11.81818182,2.155050505,2.92260274,16.02739726,0.737373737,0.161045942
STELLATA,NETHERLANDS,84000,234,42.67,19.8,14.6,5.2,7.716,5.483946567,11.81818182,2.155050505,2.92260274,16.02739726,0.737373737,0.161045942
SUZANNE,U.S.A.,65000,220.4,32.2,18.2,13.3,4.9,7.87032,6.844720497,12.10989011,1.769230769,2.421052632,16.57142857,0.730769231,0.169259125
LUCY,U.S.A.,65000,220.4,32.2,18.2,13.3,4.9,7.87032,6.844720497,12.10989011,1.769230769,2.421052632,16.57142857,0.730769231,0.169259125
SPONSALIS,NETHERLANDS,84000,234,42.67,19.8,14,5.8,7.716,5.483946567,11.81818182,2.155050505,3.047857143,16.71428571,0.707070707,0.161045942
SERICATA,NETHERLANDS,84000,234,42.67,19.8,14,5.8,7.716,5.483946567,11.81818182,2.155050505,3.047857143,16.71428571,0.707070707,0.161045942
