,DWT,LBP,B,D,d,Air_d,Vs,L/B,L/D,B/D,B/d,L/d,d/D,Fn
media,43382.788844621515,175.1225055243028,31.382617615896415,17.77671723498008,11.735988092908366,6.040729142071713,7.70534312740239,5.594519908458167,9.903374262446215,1.7737314064462149,2.6856175219641436,14.995551573466136,0.6625773710717131,0.18599899258565736
mediana,44995.0,174.0,32.20000076,17.95000076,11.96899986,6.09999943,7.716,5.423855021,9.749303208,1.739130435,2.65562432,14.61963409,0.659574475,0.185695501
max,53082.0,219.0,36.59999847,20.79999924,17.0,10.22000122,8.384719609,6.618092407,12.63571385,2.303571429,3.435114655,20.23094724,1.0,0.206815218
min,35309.0,160.0,26.83300018,14.0,10.0,0.0,7.304479902,5.093167702,8.695652353,1.490217426,1.611764684,10.35294118,0.506280152,0.171124524
moda,37000.0,172.0,32.20000076,19.10000038,11.0,5.5,7.4588,5.341614781,9.104711541,1.685863881,2.927272796,15.80909035,0.575916219,0.180586248
faixa,17773.0,59.0,9.766998290000004,6.799999239999998,7.0,10.22000122,1.0802397069999996,1.524924705,3.9400614970000003,0.8133540029999997,1.823349971,9.878006059999999,0.493719848,0.035690693999999995
erro padrao,286.47573994082234,0.5000727235694415,0.11048017563561302,0.08577442898953533,0.052265536670753704,0.07790856858437374,0.016807630684244363,0.02234297279718886,0.05132822548324278,0.009398998491101084,0.014144961523923125,0.08030325934369466,0.0032914471241133757,0.00042167602646368493
variancia,20599155.743235063,62.76825494339793,3.063673171327451,1.8466704197886903,0.6856532671939569,1.5235060097753832,0.07090660875370611,0.12530131678739626,0.6612812695459119,0.02217363433156584,0.050220064064829664,1.6186019787663914,0.0027192396668793872,4.463047849484477e-05
desv pad,4538.629280216116,7.92264191689855,1.7503351597129766,1.3589225216283267,0.8280418269592165,1.234303856339833,0.26628294867247154,0.3539792603916171,0.8131920250137183,0.1489081405819233,0.22409833570294463,1.272242892991111,0.05214632937110135,0.006680604650392416
coef variancia,0.10461820000718565,0.045240569698216646,0.05577403329244178,0.07644395214625517,0.07055578281129753,0.20433027657924738,0.034558220739773896,0.06327249990771285,0.08211262176542777,0.08395191066739376,0.08344387608070447,0.08484135356796611,0.07870224919809006,0.03591742383935668
skewness,-0.22094990030536052,3.1320578580070912,-0.8710718356164225,-0.6514280370739838,0.8059482475611616,-0.36726611157473565,0.7698349414752507,1.498730137364914,1.231575075393249,1.396570550413486,0.19856103511272732,1.0626430659756947,0.9767739032942194,0.7137379254427374
kurtosis,-1.0652303498095743,11.875466725570318,1.4315278116327939,0.34664016079771187,5.192666361383811,2.6053431987326032,-0.1596289190318041,0.9411620323618606,1.7140423358204204,2.4342789435849435,2.254444781046347,3.052104092265723,6.425634559619953,0.6830536190400482
